dataset,max_features,n_estimators,Accuracy,Sensitivity,Specificity,MCC,ppv,npv,ROCcurve,f1
cav,10,100,0.783 ± 0.014,0.808 ± 0.019,0.752 ± 0.022,0.560 ± 0.028,0.801 ± 0.014,0.761 ± 0.018,0.861 ± 0.012,0.804 ± 0.013
cav,10,150,0.784 ± 0.013,0.810 ± 0.018,0.752 ± 0.022,0.562 ± 0.027,0.801 ± 0.014,0.762 ± 0.017,0.862 ± 0.011,0.805 ± 0.012
cav,10,200,0.784 ± 0.014,0.810 ± 0.019,0.752 ± 0.022,0.563 ± 0.028,0.801 ± 0.015,0.763 ± 0.018,0.862 ± 0.011,0.806 ± 0.013
cav,50,100,0.783 ± 0.013,0.803 ± 0.017,0.758 ± 0.019,0.561 ± 0.026,0.804 ± 0.013,0.758 ± 0.016,0.862 ± 0.011,0.803 ± 0.012
cav,50,150,0.784 ± 0.013,0.804 ± 0.018,0.759 ± 0.019,0.563 ± 0.025,0.805 ± 0.013,0.759 ± 0.017,0.863 ± 0.011,0.804 ± 0.012
cav,50,200,0.783 ± 0.013,0.803 ± 0.017,0.759 ± 0.020,0.561 ± 0.027,0.804 ± 0.014,0.758 ± 0.017,0.863 ± 0.010,0.803 ± 0.013
cav,sqrt,100,0.783 ± 0.013,0.804 ± 0.018,0.758 ± 0.022,0.562 ± 0.027,0.804 ± 0.015,0.759 ± 0.017,0.861 ± 0.011,0.804 ± 0.012
erg,10,100,0.758 ± 0.004,0.746 ± 0.005,0.770 ± 0.005,0.516 ± 0.008,0.766 ± 0.004,0.750 ± 0.004,0.831 ± 0.003,0.756 ± 0.004
erg,10,150,0.759 ± 0.004,0.746 ± 0.005,0.773 ± 0.005,0.519 ± 0.007,0.769 ± 0.004,0.751 ± 0.004,0.832 ± 0.003,0.757 ± 0.004
erg,10,200,0.760 ± 0.004,0.745 ± 0.005,0.775 ± 0.005,0.520 ± 0.008,0.770 ± 0.004,0.751 ± 0.004,0.832 ± 0.003,0.757 ± 0.004
erg,50,100,0.758 ± 0.004,0.747 ± 0.005,0.770 ± 0.005,0.517 ± 0.007,0.766 ± 0.004,0.751 ± 0.004,0.833 ± 0.003,0.756 ± 0.004
erg,50,150,0.759 ± 0.004,0.746 ± 0.005,0.772 ± 0.005,0.518 ± 0.008,0.768 ± 0.004,0.751 ± 0.004,0.834 ± 0.003,0.757 ± 0.004
erg,50,200,0.760 ± 0.004,0.746 ± 0.006,0.773 ± 0.005,0.519 ± 0.008,0.769 ± 0.004,0.751 ± 0.004,0.834 ± 0.003,0.757 ± 0.004
erg,sqrt,100,0.758 ± 0.004,0.746 ± 0.005,0.770 ± 0.005,0.516 ± 0.007,0.766 ± 0.004,0.750 ± 0.004,0.832 ± 0.003,0.756 ± 0.004
nav,10,100,0.800 ± 0.009,0.768 ± 0.012,0.829 ± 0.012,0.598 ± 0.019,0.801 ± 0.012,0.799 ± 0.009,0.878 ± 0.007,0.784 ± 0.010
nav,10,150,0.801 ± 0.009,0.766 ± 0.012,0.832 ± 0.011,0.600 ± 0.019,0.803 ± 0.012,0.799 ± 0.009,0.879 ± 0.007,0.784 ± 0.010
nav,10,200,0.801 ± 0.010,0.767 ± 0.013,0.832 ± 0.013,0.601 ± 0.021,0.804 ± 0.013,0.799 ± 0.010,0.879 ± 0.007,0.785 ± 0.011
nav,50,100,0.799 ± 0.010,0.766 ± 0.013,0.829 ± 0.012,0.597 ± 0.021,0.801 ± 0.012,0.798 ± 0.010,0.878 ± 0.007,0.783 ± 0.011
nav,50,150,0.799 ± 0.010,0.765 ± 0.014,0.830 ± 0.012,0.597 ± 0.020,0.802 ± 0.012,0.798 ± 0.010,0.878 ± 0.007,0.783 ± 0.011
nav,50,200,0.800 ± 0.010,0.765 ± 0.013,0.832 ± 0.012,0.599 ± 0.020,0.804 ± 0.012,0.798 ± 0.010,0.879 ± 0.007,0.784 ± 0.011
nav,sqrt,100,0.799 ± 0.010,0.766 ± 0.013,0.829 ± 0.011,0.596 ± 0.019,0.800 ± 0.012,0.798 ± 0.010,0.878 ± 0.007,0.783 ± 0.011
